0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:24 +0530] "GET /corpseedhrm/staticresources/images/corpseed-logo.png HTTP/1.1" 200 134693
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/init-doughnut-chart.js HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/canvasjs.min.js HTTP/1.1" 200 126073
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/init-sales-overview-chart.js HTTP/1.1" 200 15405
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/Chart.bundle.min.js HTTP/1.1" 200 208221
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/css/fonts/Linearicons54e9.html?w118d HTTP/1.1" 200 21780
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/raphael-min.js HTTP/1.1" 200 90275
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/line-chart.js HTTP/1.1" 200 9210
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/css/fonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/graph.js HTTP/1.1" 200 263069
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/jquery.graphly.min.js HTTP/1.1" 200 66046
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/css/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/column-chart.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/utils.js HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/staticresources/js/bar_chart.js HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/GetProjectGraphData111 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/GetDepartmentExpense111 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:25 +0530] "GET /corpseedhrm/GetSalesIncomeSpend111 HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:27 +0530] "GET /corpseedhrm/manage-estimate.html HTTP/1.1" 200 292474
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:27 +0530] "GET /corpseedhrm/staticresources/images/tag.png HTTP/1.1" 200 8089
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:27 +0530] "GET /corpseedhrm/staticresources/js/converttopdf.js HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:27 +0530] "GET /corpseedhrm/staticresources/images/sort_both.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:27 +0530] "GET /corpseedhrm/staticresources/js/jspdf.min.js HTTP/1.1" 200 234395
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:27 +0530] "GET /corpseedhrm/staticresources/css/fonts/fa-brands-400.woff2 HTTP/1.1" 200 78460
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:27 +0530] "GET /corpseedhrm/staticresources/css/fonts/fa-regular-400.woff2 HTTP/1.1" 200 13548
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:27 +0530] "GET /corpseedhrm/staticresources/js/html2pdf.bundle.js HTTP/1.1" 200 693776
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:27 +0530] "GET /corpseedhrm/staticresources/ckeditor/ckeditor.js HTTP/1.1" 200 658347
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:28 +0530] "GET /corpseedhrm/staticresources/ckeditor/config.js?t=KA9B HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:28 +0530] "GET /corpseedhrm/staticresources/ckeditor/skins/moono-lisa/editor.css?t=KA9B HTTP/1.1" 200 40785
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:28 +0530] "GET /corpseedhrm/staticresources/ckeditor/lang/en.js?t=KA9B HTTP/1.1" 200 12469
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:28 +0530] "GET /corpseedhrm/staticresources/ckeditor/styles.js?t=KA9B HTTP/1.1" 200 5579
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:28 +0530] "GET /corpseedhrm/staticresources/ckeditor/plugins/tableselection/styles/tableselection.css HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:28 +0530] "GET /corpseedhrm/staticresources/ckeditor/plugins/scayt/skins/moono-lisa/scayt.css?t=KA9B HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:28 +0530] "GET /corpseedhrm/staticresources/ckeditor/plugins/scayt/dialogs/dialog.css?t=KA9B HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:28 +0530] "GET /corpseedhrm/staticresources/ckeditor/plugins/wsc/skins/moono-lisa/wsc.css?t=KA9B HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:28 +0530] "GET /corpseedhrm/staticresources/ckeditor/plugins/dialog/styles/dialog.css HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:28 +0530] "GET /corpseedhrm/staticresources/ckeditor/contents.css?t=KA9B HTTP/1.1" 200 3151
